No.,fomula,Oct1,,,,Oct2,,,,Oct3,,,,Oct4,,,,Oct5,,,,Oct6,,,,Oct7,,,,Oct8,,,
,,rot_ang,ang_distortion,ver_distortion,hor_distortion,rot_ang,ang_distortion,ver_distortion,hor_distortion,rot_ang,ang_distortion,ver_distortion,hor_distortion,rot_ang,ang_distortion,ver_distortion,hor_distortion,rot_ang,ang_distortion,ver_distortion,hor_distortion,rot_ang,ang_distortion,ver_distortion,hor_distortion,rot_ang,ang_distortion,ver_distortion,hor_distortion,rot_ang,ang_distortion,ver_distortion,hor_distortion
23,C8H40Br24N16Sn8,8.483721135051157,8.293261890891776,0.16549045605468438,0.19582688655947544,8.483721135051157,8.293261390687697,0.16549063705047473,0.19582688141086724,8.483721135051157,8.293287519303705,0.1654905050014297,0.19582671292375853,8.483721135051157,8.293287019098074,0.16549068599721695,0.195826707775149,8.483721135051157,8.293261890892971,0.16549045605468704,0.1958267051086331,8.483721135051157,8.29326139068884,0.16549063705047695,0.19582669996002666,8.483721135051157,8.2932875193049,0.16549050500143192,0.1958265314729153,8.483721135051157,8.29328701909922,0.16549068599721917,0.19582652632430797
24,C8H40I24N16Sn8,7.200674006797138,12.089557591491307,0.3887540967850591,0.3687082446631882,7.200674006797088,12.089559048150084,0.3887537104315535,0.3687082446631873,7.200674006797138,12.089557591491307,0.3887540967850591,0.36870824737303476,7.200674006797088,12.089559048150084,0.3887537104315535,0.36870824737303476,7.200674006797138,12.089563478302079,0.3887541143583184,0.3687081422380398,7.200674006797088,12.089564934961649,0.38875372800481456,0.3687081422380398,7.200674006797138,12.089563478302079,0.3887541143583184,0.36870814494788684,7.200674006797088,12.089564934961649,0.38875372800481456,0.3687081449478873
25,C8H40Cl24N16Pb8,8.59019453840916,8.024771403920314,0.06532354127483808,0.05989688193640097,8.590194538409119,8.024770994395858,0.06532371641490542,0.05989688950059069,8.59019453840916,8.024754955350694,0.06532351179295803,0.05989688744101995,8.590194538409119,8.024754545827129,0.0653236869330267,0.05989689500520923,8.59019453840916,8.024783320072032,0.06532356261679872,0.05989673044642796,8.590194538409119,8.024782910546993,0.06532373775686517,0.0598967380106199,8.59019453840916,8.024766871527707,0.06532353313492001,0.05989673595104694,8.590194538409119,8.024766462003582,0.06532370827498779,0.059896743515239326
26,C8H40Br24N16Pb8,7.05582448158624,9.22976813009093,0.19574801082404525,0.18727627639457278,7.05582448158624,9.229768678009792,0.19574782824731018,0.18727629265543744,7.05582448158624,9.22977440170857,0.19574802435452154,0.18727610197300537,7.05582448158624,9.229774949627888,0.19574784177778737,0.18727611823386825,7.05582448158624,9.22977312713021,0.19574802160423044,0.18727623902644686,7.05582448158624,9.229773675049403,0.19574783902749582,0.18727625528731018,7.05582448158624,9.229779398744132,0.1957480351347063,0.187276064604879,7.05582448158624,9.229779946663733,0.19574785255797256,0.187276080865741
27,C8H40I24N16Pb8,1.8536123210280595,17.52537152839529,0.35403468124094717,0.45991281057767397,1.8536123210278623,17.52537304678736,0.35403440437153,0.459912814030059,1.8536123210280595,17.52537327110458,0.3540346887906103,0.4599129998959941,1.8536123210278623,17.525374789496755,0.3540344119211931,0.4599130033483809,1.8536123210280595,17.525365081250445,0.3540346533080849,0.4599125924059826,1.8536123210278623,17.52536659964201,0.354034376438666,0.45991259585836985,1.8536123210280595,17.52536682396045,0.3540346608577485,0.4599127817243045,1.8536123210278623,17.52536834235214,0.3540343839883291,0.45991278517669265
28,C8H40Ba8I24N16,0.3941416739224865,9.895775085112643,0.542538946536332,0.5865435171484248,0.39414167392156185,9.895774218606649,0.5425392443403849,0.5865435246855482,0.3941416739224865,9.895781673521617,0.54253896350694,0.5865437201459054,0.39414167392156185,9.89578080701499,0.5425392613109916,0.5865437276830319,0.3941416739224865,9.895774970641451,0.5425389462414745,0.5865435170666298,0.39414167392156185,9.895774104135382,0.542539244045527,0.586543524603754,0.3941416739224865,9.895781559050425,0.5425389632120825,0.5865437200641104,0.39414167392156185,9.895780692543772,0.5425392610161341,0.5865437276012373
29,C8H40Ba8Br24N16,5.844224600173603,11.153506247144254,0.35994330565440835,0.34403477755452716,5.844224600173603,11.153507230031472,0.35994302437893166,0.3440347918769322,5.844224600173603,11.153524684541047,0.35994335634814334,0.3440347558665926,5.844224600173603,11.15352566742987,0.3599430750726711,0.34403477018899986,5.844224600173603,11.153513963223316,0.3599433268713539,0.34403458958453026,5.844224600173603,11.1535149461112,0.359943045595879,0.3440346039069375,5.844224600173603,11.153532400607595,0.3599433775650893,0.3440345678965939,5.844224600173603,11.153533383497052,0.35994309628961885,0.3440345822190025
30,C8H40Ba8Cl24N16,6.481947363101172,10.908037679998246,0.21028953535056027,0.1997553125788012,6.481947363101172,10.908037983584176,0.21028944996585874,0.19975533455554384,6.481947363101172,10.908058254496753,0.21028958810289256,0.19975530826617582,6.481947363101172,10.908058558083344,0.2102895027181928,0.19975533024291892,6.481947363101172,10.908037679998296,0.21028953535056027,0.19975531233948995,6.481947363101172,10.908037983584252,0.2102894499658592,0.19975533431623127,6.481947363101172,10.908058254496778,0.21028958810289256,0.1997553080268646,6.481947363101172,10.908058558083344,0.2102895027181928,0.19975533000360723
31,C8H40I24N16Sr8,1.163522790287857,7.7307907969539995,0.38709466749999377,0.4491478845713113,1.163522790287857,7.730790548998975,0.3870947711553354,0.44914790351790757,1.163522790287857,7.730790796954052,0.38709466749999377,0.4491478845713117,1.163522790287857,7.7307905489990265,0.3870947711553354,0.44914790351790845,1.163522790287857,7.730800946601274,0.3870946869739478,0.4491480941302517,1.163522790287857,7.730800698645869,0.387094790629289,0.44914811307684843,1.163522790287857,7.730800946601274,0.3870946869739478,0.44914809413025214,1.163522790287857,7.730800698645919,0.387094790629289,0.4491481130768489
32,C8H40Br24N16Sr8,6.453788172883629,9.26385849799583,0.22023107859564428,0.20305499850362763,6.453788172883629,9.263859340597866,0.22023079641957866,0.20305499002326366,6.453788172883629,9.263864618406641,0.22023109195454227,0.20305518691678248,6.453788172883629,9.263865461009212,0.22023080977847753,0.20305517843641674,6.453788172883629,9.263861140667496,0.22023108436412686,0.20305499831311202,6.453788172883629,9.263861983269813,0.22023080218806212,0.20305498983275072,6.453788172883629,9.263867261076449,0.2202310977230244,0.20305518672626777,6.453788172883629,9.263868103679199,0.2202308155469601,0.2030551782459047
